Dataset,Context_Pred,Naive_MAE,Mean_MAE,Mean_PredScore,DLinear_MAE,DLinear_PredScore,Linear_MAE,Linear_PredScore,POCO_MAE,POCO_PredScore,TSMixer_MAE,TSMixer_PredScore,Informer_MAE,Informer_PredScore,Transformer_MAE,Transformer_PredScore
70 Neurons,"16,8",0.065370336,0.081530616,-0.5685453170810708,0.059332166,0.03158812071732808,0.062605,-0.057594700718502256,0.05662998,0.06842027906449877,0.059604168,0.0421767131203854,0.07438017,-0.545590829886645,0.06825813,-0.21722020171865863
70 Neurons,"48,16",0.082720146,0.10367152,-0.41413874714975507,0.07283499,0.10729297610414168,0.07523739,0.06345966883748766,0.070384555,0.11353870270869604,0.07354603,0.09583421411666182,0.093051107,-0.3196803804443116,0.08522959,-0.1088303392709773
70 Neurons,"96,32",0.102624655,0.115596,-0.1034537204113315,0.08857583,0.1998754341841632,0.08857583,0.17005074045319746,0.085391864,0.17629215411027666,0.088589095,0.1500752641058647,0.10753239,-0.13774776379665732,0.100252904,0.02117920098631454
700 Neurons,"16,8",0.111161314,0.099586576,0.12558136370954154,0.09191101,0.2680636376622856,0.094490394,0.23173553893910526,0.08699279,0.3208642813250867,0.09027936,0.28377306124546786,0.10023528,0.05419420083700366,0.09943518,0.07780141838611165
700 Neurons,"48,16",0.120543726,0.106649674,0.1751265898337525,0.09727745,0.30852897876835894,0.09805214,0.2998355163044121,0.0920508,0.32747065053961333,0.0949629,0.31680846238365923,0.10357652,0.1651102653186488,0.10269861,0.16660895090546324
700 Neurons,"96,32",0.13000302,0.109897025,0.26880975949913777,0.10226869,0.35127959335594183,0.10279398,0.34619870790413154,0.0971128,0.36643772568274346,0.099153645,0.3545624127123096,0.10567531499999999,0.25086959964176425,0.104233722,0.280690850886961
7000 Neurons,"16,8",0.15167995,0.12010497,0.34815493292366284,0.11739592,0.3828261618059656,0.12034254,0.3532438079572491,0.11276978,0.4185963514837663,0.11638996,0.38922476381644944,0.118189014,0.34397640935900753,0.11793754,0.34960218603418636
7000 Neurons,"48,16",0.15644656,0.120992,0.38414569225339756,0.11816902,0.41204010060999563,0.11860744,0.40811856198740193,0.114827454,0.4313272670536349,0.11620584,0.42480571263335265,0.11872788,0.3833805906992659,0.118391715,0.3883379687273133
7000 Neurons,"96,32",0.16080081,0.12124526,0.419418768891753,0.11912034,0.4353211957689165,0.119387,0.43324615606988637,0.11644752,0.4462223060368624,0.11753381,0.4414585269769381,0.119484,0.4146707991801222,0.11877026,0.4225021982522389
